MPID,Description
DCMI,"DAVINCI CAPITAL MANAGEMENT, INC."
DAVS,"DAVIS SECURITIES, LLC"
DRMI,"DAVIS, MENDAL & REGENSTEIN, INC."
DAVY,DAVY SECURITIES
DJSA,DAWSON JAMES SECURITIES INC
DJSI,"DAWSON JAMES SECURITIES, INC"
KDEK,"DE KONING CAPITAL MARKETS, LLC"
DCMG,DEARBORN CAPITAL MARKETS GROUP
DBTX,DEBTX SEC INC
RAYG,DELTA EQUITY SERVICES CORP.
DTII,DELTA TRUST
DELT,DELTEC ASSET MANAGEMENT LLC
DLSI,"DEMPSEY LORD SMITH, LLC"
DESP,DESPAIN FINL CORP
DCSC,DESTINY CAP SEC CORP
FEDE,DETWILER FENTON & CO.
DBKS,DEUTSCHE BK SEC INC
DEVR,DEVENIR LLC
DWFN,DEWAAY FINANCIAL NETWORK LLC
DAVE,DIAMANT INVESTMENT CORPORATION
DILG,DILLON GAGE SECURITIES INC.
DINO,"DINOSAUR SECURITES, L.L.C."
TREX,DINOSAUR SECURITIES LLC
DAPL,DIRECT ACCESS PARTNERS
DAPG,DIRECT ACCESS PARTNERS LLC
DAPJ,DIRECT ACCESS PARTNERS LLC
DITO,"DITTO TRADE, INC."
DIVP,"DIVERSIFIED SECURITIES, INC."
DIVE,DIVERSITY INVESTMENT CORP.
DIVA,DIVINE CAPITAL MARKETS LLC
DLSC,DLS CAPITAL PARTNERS
DSGG,"DMG SECURITIES, INC."
DNOR,"DNB NOR MARKETS, INC"
DOFT,"DOFT & CO., INC."
DOLY,"DOLEY SECURITIES, LLC."
DFIC,DOMESTIC FINANCIAL SERVICES INC
DOMS,"DOMESTIC SECURIITES, INC."
DOMK,DOMINICK & DOMINICK LLC
DOMI,DOMINION INVESTOR SVS INC
DAII,DON ALEXANDER INVTMTS
DORN,DORN & CO INC
DORS,"DORSEY & COMPANY, INC."
DOTC,"DOUGHERTY & COMPANY, LLC"
DGLS,DOUGLAS & ASSOCIATES INC.
DOWL,DOWLING & PARTNERS SECURITIES
DDBI,"DOWNSTATE DISCOUNT BROKERAGE, INC."
IPRV,"DPEC CAPITAL, INC."
DREX,"DREXEL HAMILTON, LLC"
PASQ,"DU PASQUIER & CO., INC."
DCUS,"DUBEAU CAPITAL USA, INC."
DNWL,DUNCAN-WILLIAMS
DHAM,DUNHAM & ASSOCIATES INVST COUNSEL INC
DIDI,"DWS INVESTMENTS DISTRIBUTORS, INC"
DCPI,"DYNASTY CAPITAL PARTNERS, INC."
EWIN,E-W INVESTMENTS INC
POWL,E. E. POWELL & CO.
EDLR,"E.J.DE LA ROSA & CO., INC."
EMOC,E.MAGNUS OPPENHEIM & CO. INC.
ESFS,E.S. FINL SVS
HOPE,E.S. HOPE FINANCIAL
ETRS,E*TRADE SECURITIES LLC
EVRS,"E1 ASSET MANAGEMENT, INC."
ELCA,"EAGLE LEDGE CAPITAL, LLC"
EOIL,EAGLE ONE INVMTS LLC
EBCI,"EARLY BIRD CAPITAL, INC."
EBRD,"EARLY BIRDCAPITAL, INC."
ESPN,"EAST SHORE PARTNERS, INC."
EWSC,EAST/WEST SECURITIES CO.
ECON,"ECONOMY SECURTIES, INCORPORATED"
EDIF,EDI FINANCIAL INC
EDJO,EDWARD JONES
EFGC,EFG CAPITAL INTERNATIONAL
EKRI,EK RILEY INVESTMENTS LLC
EKNS,EKN FINANCIAL SERVICES INC.
ELEV,"ELEVATION, LLC"
ELTD,"ELEVATION, LLC"
ACSL,"ELLIOTT DAVIS BROKERAGE SERVICES, LLC"
ELTK,ELTEKON SEC LLC
VTMW,EMERGENT FINANCIAL GROUP INC.
EGRO,"EMERGING GROWTH EQUITIES, LTD"
EMER,EMERSON EQUITY LLC
EAMC,EMPIRE ASSET MANAGEMENT CO
EMPI,EMPIRE INVESTMENT INC
AMMI,"ENSEMBLE FINANCIAL SERVICES, INC."
EQAL,EQUIBOND INC.
EQNX,EQUINOX SECURITIES INC.
EQSV,EQUITY SERVICES INC
ESTA,"EQUITY STATION, INC."
ESTF,"EQUITY STATION, INC."
EROM,EROOM SECURITIES LLC
ESPO,"ESPOSITO SECURITIES, LLC"
EFSP,ESSEX FINANCIAL SERVICES INC.
ENSC,ESSEX NATIONAL SECS INC
BJCM,ESSEX SEC LLC
EURP,"EURO PACIFIC CAPITAL, INC."
ERPO,"EUROPA SECURITIES, INC."
EVER,EVERTRADE DIRECT BROKERAGE INC
ESUS,"EVOLUTION SECURITIES US, INC."
EXCS,EXCEL SEC & ASSOC
EXOS,EXOS SECURITIES LLC
EXOT,EXOTIX USA INC.
EZST,"EZ STOCKS, INC."
FAGI,FAGENSON & CO
FALC,"FALCONVIEW SECURITIES, LLC"
FAMV,FAMILY INVESTORS CO
FMGT,FAMILY MGMT SEC LTD LIAB CO
FBRC,FBR CAPITAL MARKETS & CO.
FBRS,"FBR INVESTMENT SERVICES, INC."
FBTI,FBT INVTMTS INC
FCGA,"FCG ADVISORS, LLC"
FEDR,FEDERATED SECURITIES INC.
LGLL,FEIL DAILY INVMT CO
FMAC,"FELDMAN, INGARDONA AND CO"
FFGI,FELDSTEIN FINL GRP LLC
FLTL,FELTL & COMPANY
FIBS,FIDELITY BROKERAGE SERVICES LLC
SSCC,FIDUCIARY FINANCIAL SERVICES CORP.
FSTN,FIELDSTONE SERVICES CORP.
OHIO,"FIFTH THIRD SECURITIES, INC."
BNKS,"FIG PARTNERS, LLC"
FGIC,FINACORP GRP INTL CORP
FINC,FINAL COUNSELING CORP
FANC,"FINANCE 500, INC."
BOYS,"FINANCIAL ADVISERS OF AMERICA, LLC."
FASI,"FINANCIAL AMERICA SECURITIES, INC."
FNIC,FINANCIAL NETWORK INVESTMENT CORPORATION
FNSJ,"FINANCIAL NORTHEASTERN SECURITIES, INC."
FTII,FINANCIAL TELESIS INC.
FINW,"FINANCIAL WEST INVESTMENT GROUP, INC."
BFUS,FINANTIA USA LTD.
FPCI,FINL PLANING CONSULTANTS INC
FINX,FINTECH SECURITIES
FINT,FINTEGRA FINL SOLUTIONSLLC
FAST,FIRST ALLIED SECURITIES INC
STCS,FIRST AMERICAN CAPITAL AND TRADING CORP
FAFI,FIRST ASSET FINANCIAL INC.
FBLT,"FIRST BALLANTYNE, LLC"
FLOU,"FIRST BANKERS' BANC SECURITIES, INC"
BRMF,FIRST BERMUDA SECURITIES (BVI) LTD.
FBAL,FIRST BROKERAGE OF AMERICA LLC
FATS,FIRST BROKERS SECURITIES LLC
FCFP,FIRST CITIZENS FINL PLUS INC
FCIT,FIRST CITIZENS INVESTORS SVS INC
FCSC,FIRST CITIZENS SECURITIES CORP.
FCCP,"FIRST CLEARING, LLC"
FCFS,"FIRST COMMAND FINANCIAL PLANNING, INC"
FDSI,"FIRST DALLAS SECURITIES, INC."
FESI,FIRST EMPIRE SEC INC
FFEC,FIRST FINANCIAL EQUITY CORPORATION
FFSA,FIRST FINANCIAL SECS OF AMERICA
FGOE,"FIRST GEORGETOWN SECURITIES, INC."
FHCI,FIRST HEARTLAND CAP
FHON,FIRST HONOLULU SEC INC
FILS,FIRST ILLINOIS SEC
FIFS,FIRST INDEPENDENT FINANCIAL SERVICES INC
KACI,"FIRST INTEGRITY CAPITAL PARTNERS, CORP"
FISN,FIRST INTERNET SECURITIES NTWK
FIRT,FIRST INVESTORS CORP
FKSC,FIRST KENTUCKY SECURITIES CORP.
FLIB,FIRST LIBERTIES FINANCIAL
FLFS,FIRST LIBERTIES FINL
FMCO,FIRST MANHATTAN CO.
FSMG,"FIRST MERGER CAPITAL, INC."
FMFS,FIRST MERIT FINANCIAL SERVICES
FMSI,"FIRST MIDWEST SECURITIES, INC."
FNCM,FIRST NATIONAL CAPITAL MARKETS
MPFI,FIRST NEW YORK SECURITIES L.L.C
FNYS,"FIRST NEW YORK SECURITIES, LLC"
FSRP,FIRST REPUBLIC SEC CO LLC
FIRF,FIRST RESEARCH FINANCIAL
FSIS,FIRST SOUTHEAST INVESTORS SVS
FRST,FIRST SOUTHERN SECURITIES LLC
FSWC,FIRST SOUTHWEST COMPANY
CONF,"FIRST STATE FINANCIAL MANAGEMENT, INC."
FSSO,FIRST STATE SEC INC
FTEN,FIRST TENNESSEE DISCOUNT INC.
FTLP,FIRST TRUST PORTFOLIOS L.P.
TRYN,FIRST TRYON SECURITIES LLC
FWCO,FIRST WASHINGTON CORPORATION
FWAI,FIRST WESTERN ADVISORS
FWSI,FIRST WESTERN SECURITIES
FWIL,FIRST WILSHIRE SECS
FWSS,"FIRST WINSTON SECURITIES, INC."
FFSI,"FIRSTRADE SECURITIES, INC."
FMCS,FIVE MILE CAPITAL SECURITIES LLC
DEMJ,"FIVE STAR INVESTMENT SERVICES, INC."
FICP,FIXED INCOME CAPITAL PARTNERS LLC
FLMM,"FLEMING SECURITIES, INC."
FLAT,FLORIDA ALTANTIC SEC CORP
FIAF,"FLORIDA INVESTMENT ADVISORS, INC"
FMNC,FMN CAPITAL CORP
FMUS,"FMSBONDS, INC"
MIAM,"FMSBONDS, INC"
STIS,FNB BROKERAGE SVCS
FCML,"FNCC CAPITAL MARKETS, LLC"
FNFD,FOLGER NOLAN FLEMING DOUGLAS INCORPORATE
FTBR,"FOLIOFN INVESTMENTS, INC."
FOOT,FOOTHILL SECURITIES
FORD,"FORDHAM FINANCIAL MANAGEMENT, INC."
FITE,"FORESIGHT INVESTMENTS, LLC"
FORE,FOREST SEC INC
FRGP,"FORGE FINANCIAL GROUP, INC."
FSII,FORSYTH SEC
FTIS,FORTIS SECURITIES LLC
FORI,FORTREND SECURITIES LTD
FRTN,FORTUNE SECURITIES INC
FFSE,"FOUNDERS FINANCIAL SECURITIES, LLC"
FOXC,FOX CHASE CAPITAL PARTNERS
FOXY,FOX FINANCIAL MANAGEMENT CORPORATION
PHNX,"FRANKLIN CHRISTOPHER INVESTMENT BANKERS,"
FSST,"FRANKLIN STREET SECURITIES, INC."
FDMI,"FREEDOM INVESTMENTS, INC."
FRIC,FREEDOM INVESTORS CORP.
FBLC,FREIMARK BLAIR & COMPNAY INC.
CUFT,FROST BROKERAGE
WRGR,"FSB WARNER FINANCIAL, INC."
FSCS,FSC SECURITIES CORPORATION
FSIX,FSIC
FTSC,FTN FINANCIAL SECURITIES CORP.
FUBO,FUBON SECURITIES USA LLC
OFKS,"FULCRUM SECURITES, INC."
FARS,FURTHER LANE SEC L.P.
VISU,FVISUN SECURITIES CORP
REPP,G.A. REPPLE & CO.
GFBD,"G.F. INVESTMENT SERVICES, LLC"
GLSA,G.L.S. & ASSOC
GWWD,G.W. WADE ASSET MGMT CO
GXCO,G.X. CLARKE & CO
GABE,"GABELLI & COMPANY, INC."
GGWI,GAGE-WILEY & CO
GAGN,GAGNON SECURITIES LLC
STDB,"GAIN SECURITIES, INC."
GARW,"GAR WOOD SECURITIES, LLC"
GWDS,"GAR WOOD SECURITIES, LLC"
GRST,"GARDEN STATE SECURITIES, INC."
GAFI,GARDNER FINANCIAL SVS INC
GDNR,"GARDNER RICH, L.L.C."
GMCI,GARDNYR MICHAEL CAP
GARR,GARRETT NAGLE & CO INC
GRYG,"GARY GOLDBERG & CO., INC."
GATS,GATES CAPITAL CORP
GBMS,GBM INTERNATIONAL INC
GBMT,"GBM INTERNATIONAL, INC"
GBSL,GBS FINANCIAL CORPORATION
GEAR,"GEARY SECURITIES, INC"
GENW,"GENEOS WEALTH MANAGEMENT, INC."
GENS,GENERAL SECURITIES CORP.
GNSB,GENESIS SECURITIES LLC
TERA,GENWORTH FINANCIAL SECURITIES CORP.
TAIG,GEOFFREY RICHARDS SECURITIES CORP.
BAUM,GEORGE K. BAUM & COMPANY
GMCK,GEORGE MCKELVEY
GSSC,GEORGSON SHAREHOLDER SECS CORP
GFIG,GFI SECURITIES LLC
GDCO,"GILBERT DONIGER & CO.,INC."
GILG,GILDER GAGNON HOWE & CO. LLC
RGIL,GILFORD SECURITIES INC.-RETAIL
GLLL,GILL CAPITAL PARTNERS
GIRL,"GIRARD SECURITIES, INC."
GIMM,"GIT INVESTMENT SERVICES, INC."
GITI,GIT INVMTMT SVS INC
GCMC,GLADOWSKY CAP MGMT CORP
BPSG,"GLEACHER & COMPANY SECURITIES, INC."
GEAL,GLEN EAGLE ADVISORS LLC
GLEN,GLENDALE SECURITIES INC.
GLIC,GLICKENHAUS & CO.
GACC,GLOBAL ARENA CAPITAL CORP
GSBI,GLOBAL BRKGE SVS
GCPL,GLOBAL CREDIT PARTNERS LLC
GFSI,"GLOBAL FINANCIAL SERVICES, INC."
GLBL,"GLOBAL HUNTER SECURITIES, LLC"
GISJ,"GLOBAL INVESTOR SERVICE, L.C."
HBCO,"GLOBAL INVESTOR SERVICES, L.C."
GRIL,"GLOBAL RESOURCES INVESTMENTS, LTD."
GSIL,"GLOBAL STRATEGIC INVESTMENTS, LLC"
GSRI,"GLOBAL STRATEGIC INVESTMENTS, LLC"
PSRI,"GLOBALINK SECURITIES, INC."
GELZ,GOELZER INVMTS MGMT
GCST,GOLD COAST SEC INC
GBSC,GOLDEN BENEFICIAL SECURITIES CORPORATION
SLKI,"GOLDMAN SACHS EXECUTION & CLEARING, L.P."
GSCO,"GOLDMAN, SACHS & CO."
GBLS,"GOODWIN BROWNING & LUNA SECURITIES, INC."
GAIC,"GOOGINS & ANTON, INC."
GHCC,"GORDON, HASKETT CAPITAL CORPORATION"
SEAG,"GOVDESK, LLC"
GVMP,GOVERNMENT PERSPECTIVES LLC
MISI,"GPC SECURITIES, INC."
GFGL,GRACE FINANCIAL GROUP LLC
MVPF,GRACE FINANCIAL GROUP LLC
GMCY,GRAMERCY FINL SVS LLC
GRND,GRAND CAPITAL CORP
GFIN,"GRANITE FINANCIAL GROUP, LLC"
GWLP,GRANT WILLIAMS LP
GRBF,GRB FINANCIAL LLC
AGSS,GREAT AMERICAN ADVISORS
GAII,GREAT AMERICAN INVESTORS
MAYO,GREAT CIRCLE FINANCIAL
GNTS,GREAT NATION INVESTMENT CORP
GPSS,GREAT PACIFICE SECURITIES
NEHL,GREENBURG FINL GRP
GPCG,GREENMAN PARKER CONNALLY GREENMAN INC.
GLCM,GREENSLEDGE CAPITAL MARKETS LLC
GJSS,GREGORY J SCHWARTZ & CO INC
ZENT,GREGORY ZENT & SWANSON INC.
GRFC,GRF CAPITAL INVESTORS INCORP
GMPU,GRIFFITHS MCBURNEY CORP.
GRIG,"GRIGSBY & ASSOCIATES, INC."
GROD,"GRODSKY ASSOCIATES, INC."
CLYM,"GUGGENHEIM FUND DISTRIBUTORS, INC."
GUGI,"GUGGENHEIM FUND DISTRIBUTORS, INC."
GUGG,"GUGGENHEIM INVESTOR SERVICES, LLC"
LNKS,"GUGGENHEIM SECURITIES, LLC"
GUNN,GUNN & COMPANY INC
GURN,GURUN INC
GZML,GUZMAN & CO.
GUZM,GUZMAN & COMPANY
BCPI,GVC CAPITAL LLC
RLCC,GWM GROUP INC
GWNS,"GWN SECURITIES, INC."
HBCK,H. BECK INC
HRIV,H. RIVKIN & CO
DENI,H.C. DENISON & CO.
WAIN,"H.C. WAINWRIGHT & CO., INC."
HDVS,"H.D. VEST INVESTMENT SECURITIES, INC."
WMPB,"HAHN SECURITIES, INC."
BBHP,"HALCYON CABOT PARTNERS, LTD."
HRFS,HALL & ROMKEMA FINANCIAL SERVICES LLC
HMRK,"HALLMARK INVESTMENTS, INC."
HANS,HAMNI ASSET SECURITIES
HMPT,"HAMPTON SECURITIES (USA), INC."
HANK,HANCOCK INVESTMENT SVS INC
DHAN,HANCOCK SEC GRP
AIRS,HAND SECURITIES INC.
HMRN,"HANSON MCCLAIN RETIREMENT NETWORK, LLC"
HAFS,"HANTZ FINANCIAL SERVICES, INC."
POLI,"HAPOALIM SECURITIES USA, INC."
BURT,"HARBOR FINANCIAL SERVICES, LLC"
HIAL,"HARBOR INVESTMENT ADVISORY, LLC"
HARB,HARBOUR INVMTS INC
HRGR,HARGER & CO INC
HBRN,HAROLD C. BROWN & CO. LLC
HRRS,"HARRIS INVESTOR SERVICES, INC."
HACA,HARVEST CAP LLC
HVST,HARVEST FINL CORP
HAVN,HAVENWOOD CAP MKTS LLC
RITT,"HAVERFORD TRUST SECURITIES, INC."
HAST,"HAYDEN STONE & CO., LLC"
HAYV,HAYWOOD SEC INC
HASF,HAYWOOD SECURITIES INC (USA) INC.
HAZL,"HAZLETT, BURT & WATSON INC"
BRNT,HD BRENT & CO
HIAI,"HEARTLAND INVESTMENT ASSOCIATES, INC."
HEFR,"HEFREN-TILLOTSON, INC."
HYSI,HEIM AND YOUNG
HCPI,"HENDERSON CAPITAL PARTNERS, LLC."
HENY,HENLEY & CO LLC
NHWI,HENNION & WALSH INC
HJSC,HERBERT J SIMS
HFSB,"HERITAGE FINANCIAL SYSTEMS, INC."
HPOL,HERNDON PLANT OAKLEY LTD
NHFS,HEWITT FINANCIAL SERVICES LLC
HXGN,HEXAGON SECURITIES LLC
HFPC,HFP CAPITAL MARKETS
HIGG,"HIGGINS CAPITAL MANAGEMENT, INC."
COHI,"HIGH POINT CAPITAL GROUP, INC."
ESII,"HIGH STREET SECURITIES, INC."
HIGH,"HIGHLANDER CAPITAL GROUP, INC."
HTJP,"HIGHTOWER SECURITIES, LLC"
HTWR,"HIGHTOWER SECURITIES, LLC"
DLWB,"HILLIARD FARBER & CO., INC"
HFCO,"HILLIARD FARBER & CO., INC"
HKCS,"HKC SECURITIES, INC."
HLMS,"HLM SECURITIES, INC."
HLLC,HOLLENCREST SEC LLC
VOLS,"HOME FINANCIAL SERVICES, INC."
HPPR,HOPPER SECURITIES - VERMONT
HOTO,"HORNOR, TOWNSEND & KENT INC"
HWIL,HOWARD WEIL INCORPORATED
HOWE,"HOWE BARNES HOFFER & ARNETT, INC."
HORW,HOWITZ & ASSOC INC
HPOT,HP SECURITIES INC
HRCS,"HRC INVESTMENT SERVICES, INC."
HSBC,HSBC SECURITIES (USA) INC
HSBK,HSBC SECURITIES (USA) INC.
HDSW,HUDSON SECURITIES INC
HDSN,"HUDSON SECURITIES, INC."
SECT,HUDSON VALLEY CAPITAL MANAGEMENT
HNTR,HUNTER ASSOC
PLCP,HUNTER SCOTT FINANCIAL LLC.
HUNT,HUNTLEIGH SECURITIES CORPORATION
HUTC,"HUTCHINSON, SHOCKEY, ERLEY & CO."
HWJC,"HWJ CAPITAL PARTNERS II, LLC"
HSAC,HYUNDAI SEC
LOCL,IBC INVESTMENTS CORPORATION
IBER,IBERIA CAPITAL PARTNERS LLC
MRBA,IBN FINL SVS
IBSL,"IBS SECURITIES, LLC"
GARB,ICAP CORPORATES LLC
GARC,ICAP CORPORATES LLC
IBAB,ICAP CORPORATES LLC
IEBC,ICAP ELECTRONIC BROKING LLC
ICAP,ICAP SECURITIES (USA) LLC
IBAA,ICBA SECURITIES CORP
ICDS,"ICD SECURITIES, INC."
ISEC,ICICI SECURITIES INC.
ICMC,ICM CAPITAL MARKETS LTD.
AJCO,IDB CAPITAL CORP.
IIGH,IIG HORIZON SECURITIES LLC
IMPC,"IMPERIAL CAPITAL, LLC"
IMSS,"IMS SECURITIES, INC."
INCP,INCAPITAL LLC
ICCI,INDEPENDENCE CAP CO INC
INDE,INDEPENDENT BROKERS LLC
HSAI,"INDEPENDENT FINANCIAL GROUP, LLC"
IMBB,INDIANA MERCHANT BKING & BRKGE CO INC
INDI,"INDIANA SECURITIES OF INDIANAPOLIS, LLC"
NFTY,INFINITY SECURITIES CORP.
INGF,ING FINANCIAL MARKETS LLC
WING,"ING FINANCIAL PARTNERS, INC."
AISL,ING FINL ADVISERS LLC
INGS,INGALLS & SNYDER LLC
ICSG,INSTINET CLRING SVS INC
ICMH,INSTITUTIONAL CAP MGMT INC
ISCN,INSTITUTIONAL SEC CORP
INFI,INTEGRAL FINANCIAL LLC
INII,INTEGRATED TRDING & INVMTS INCORP
IBSJ,INTEGRITY BROKERAGE SERVICES
IBCO,INTERACTIVE BROKERS CORP.
IBKR,INTERACTIVE BROKERS L.L.C.
IBSA,"INTERBOLSA SECURITIES, LLC"
ITCM,"INTERCAM SECURITIES, INC."
ICFS,INTERCAROLINA FINL SVS
ICON,INTERCONTINENTAL ASSET MANAGEMENT GROUP
IMSL,INTERMERCHANT SECURITIES LLC
IFSM,INTERMOUNTAIN FINANCIAL
INTA,"INTERNATIONAL ASSETS ADVISORY, LLC"
ICTI,INTERNATIONAL CORRESPONDENT TRADING INC
IESC,"INTERNATIONAL EQUITY SERVICES, INC"
AZAD,"INTERNATIONAL FINANCIAL SOLUTIONS, INC."
IMMG,"INTERNATIONAL MONEY MANAGEMENT GROUP, IN"
IPAC,INTERPACIFIC INVESTORS
IVST,INTERVEST INTERNATIONAL EQUITIES CORP
CTAS,INTINEX INVTMT INC
INTL,"INTL TRADING, INC."
ISIG,INTNTL STRATEGY & INVMT GRP INC
INVM,"INVEMED ASSOCIATES, LLC"
TCGA,"INVERNESS SECURITIES, LLC"
ISFA,INVEST FINL CORP
ARCH,"INVESTACORP, INC."
IAIN,INVESTMENT ARCHITECTS INC
ICAO,INVESTMENT CTRS OF AMERICA
IVNT,"INVESTMENT NETWORK, INC."
IPGR,INVESTMENT PLACEMENT GROUP
INPR,"INVESTMENT PROFESSIONALS, INC."
IAME,INVESTMT CENTERS OF AMERICA
INPI,INVESTMTENT PTNERS INC
IBOT,"INVESTORS BROKERAGE OF TEXAS, LTD."
ICCP,INVESTORS CAP
ISCI,"INVESTORS SECURITY COMPANY, INC."
IVEX,INVEX INC
IAAK,"ISAAK BOND INVESTMENTS, INC."
ISIL,ISI CAPITAL LLC
IAEX,"ISRAEL A. ENGLANDER & CO., LLC"
ITAU,ITAU BBA USA SECURITIES INC.
IESI,"ITAU EUROPA SECURITIES, INC."
ARKA,"IXE SECURITIES, LLC."
JADN,"J. ALDEN ASSOCIATES, INC."
GLYN,J.A. GLYNN & CO                       (O
SEIB,J.D. SEIBEFT & CO INC
JDRB,"J.H. DARBIE & CO., INC."
JHDR,"J.H. DARBIE & CO., INC."
HLHC,"J.J.B HILLIARD, W.L. LYONS, LLC"
HDLY,"J.J.B. HILLIARD,  W.L. LYONS, INC."
JKFS,J.K. FINANCIAL SERVICES INC.
JMLS,"J.M. LUMMIS SECURITIES, INC."
JPMC,J.P. MCGOWAN AND CO
JPMA,J.P. MORGAN INSTITUTIONAL INVESTMENTS
BEST,J.P. MORGAN SECURITIES LLC
JPMS,J.P. MORGAN SECURITIES LLC
PCSD,J.P. MORGAN SECURITIES LLC
JPTC,"J.P. TURNER & COMPANY, LLC"
JPTM,"J.P. TURNER & COMPANY, LLC"
JWCF,"J.W. COLE FINANCIAL, INC."
KRTH,J.W. KORTH & COMPANY INC
JWML,J.W. MILLEGAN
JVBF,JACK V BUTTERFIELD INV CO
JASM,JACKSON & SMITH INVESTMENT SEC LLC
JACK,JACKSON SEC
JACF,JACQUES FINL LLC
JFSI,JAMES FOX SEC
BLCK,JAMES I BLACK & CO
JANE,"JANE STREET MARKETS, LLC"
JANY,JANNEY MONTGOMERY SCOTT LLC
CSIB,"JBS LIBERTY SECURITIES, INC."
JDLS,JDL SECURITIES CORPORATION
PJEF,"JEFFERIES & CO., INC."
BDIR,"JEFFERIES & COMPANY, INC"
JEFF,"JEFFERIES & COMPANY, INC."
JHYT,"JEFFERIES HIGH YIELD TRADING, LLC"
JPOB,"JEFFERIES HIGH YIELD TRADING, LLC"
JEFM,JEFFREY MATTHEW FINANCIAL GRP LLC
DEFA,"JEFFRIES & CO, INC"
JETT,"JETTRADE, INC."
PONT,"JHS CAPITAL ADVISORS, INC."
PRBC,"JHS CAPITAL ADVISORS, INC."
JKRC,JKR & COMP INC
JSSF,"JMP SECURITIES, LLC"
JBEL,"JOBEL FINANCIAL, INC."
JINS,JOHN CARRIS INVESTMENTS
JJIL,JOHN JAMES INVMTS
GOLA,JOHN THOMAS FINANCIAL
JOLE,"JOHNSTON, LEMON & CO.,INCORPORATED"
JONE,"JONES TRADING INSTITUTIONAL SERVICES, LL"
ETSB,JOSEPH GRACE HOLDINGS INC
JGUN,JOSEPH GUNNAR & CO. INC.
JVBG,"JVB FINANCIAL GROUP, LLC"
KCWF,K.C. WARD FINANCIAL
KWCC,K.W. CHAMBERS & CO
KALA,KA ASSOCIATES INC
KBCO,KAHN BROTHERS LLC
WYOM,KAISER AND COMPANY
KALO,"KALOS CAPITAL, INC."
KRVY,"KARVY, INC."
KASH,KASHNER DAVIDSON SECURITIES CORP.
KBRO,KAUFMAN BROS. L. P.
KBFP,"KBC FINANCIAL PRODUCTS USA, INC."
KCDF,KCD FINANCIAL
KBWI,"KEEFE, BRUYETTE & WOODS, INC."
KEEL,KEELEY INVESTMENT CORP.
KDCO,"KELLNER, DILEO & CO., LP."
KNII,"KENAI INVESTMENTS, INC."
KJER,"KENNETH, JEROME & CO., INC."
